regime_v56,source_family,source_id,min_support_v56,source_count_v56,empirical_exposure_share_v56,source_cap_v56,pooled_small_cell_v56,used_exposure_v56,allowed_exposure_v56,slack_v56,active_v56
strict,grade,A,250,43274,0.9839539325078269,0.85,False,,,,
strict,grade,B,250,1495,0.005947241018803559,0.045,False,,,,
strict,grade,C,250,1223,0.004165474058302345,0.045,False,,,,
strict,grade,D,250,1243,0.00405179885598162,0.045,False,,,,
strict,grade,E,250,687,0.001703769367054058,0.045,False,,,,
strict,grade,__pooled_small__,250,78,0.00017778419203148406,0.045,True,,,,
strict,period,2018,250,33670,0.7226588242350902,0.7587917654468448,False,,,,
strict,period,2019,250,13153,0.25530031388244445,0.2680653295765667,False,,,,
strict,period,2020,250,1177,0.022040861882465377,0.045,False,,,,
strict,state_top20,AZ,250,1305,0.026532919412685166,0.045,False,,,,
strict,state_top20,CA,250,6470,0.14139303098044284,0.14846268252946498,False,,,,
strict,state_top20,CO,250,1395,0.02988304185381057,0.045,False,,,,
strict,state_top20,FL,250,3197,0.06298481794455911,0.06613405884178707,False,,,,
strict,state_top20,GA,250,1376,0.03172433859047177,0.045,False,,,,
strict,state_top20,IL,250,1688,0.03583300020812777,0.045,False,,,,
strict,state_top20,IN,250,848,0.01620115690056283,0.045,False,,,,
strict,state_top20,MA,250,1106,0.026748545017795528,0.045,False,,,,
strict,state_top20,MD,250,1123,0.024072019857885367,0.045,False,,,,
strict,state_top20,MI,250,1249,0.02442592764802333,0.045,False,,,,
strict,state_top20,MN,250,935,0.01983030944211693,0.045,False,,,,
strict,state_top20,NC,250,1452,0.029457476919757284,0.045,False,,,,
strict,state_top20,NJ,250,1497,0.0332505753706345,0.045,False,,,,
strict,state_top20,NV,250,819,0.01582722134126876,0.045,False,,,,
strict,state_top20,NY,250,3188,0.06523522463910765,0.06849698587106304,False,,,,
strict,state_top20,OH,250,1520,0.027904519673710403,0.045,False,,,,
strict,state_top20,PA,250,1559,0.031135431599431735,0.045,False,,,,
strict,state_top20,TX,250,4050,0.08829443316582469,0.09270915482411593,False,,,,
strict,state_top20,VA,250,1372,0.03099226827468518,0.045,False,,,,
strict,state_top20,WA,250,1125,0.02628830889542928,0.045,False,,,,
strict,state_top20,other,250,10726,0.2119854322636693,0.22258470387685278,False,,,,
strict,income_band,0,250,8592,0.093434072005768,0.0981057756060564,False,,,,
strict,income_band,1,250,9396,0.14177104254300738,0.14885959467015775,False,,,,
strict,income_band,2,250,9169,0.16463153333003228,0.1728631099965339,False,,,,
strict,income_band,3,250,9914,0.23217714732910072,0.24378600469555575,False,,,,
strict,income_band,4,250,10929,0.36798620479209165,0.38638551503169627,False,,,,
strict,dti_band,0,250,14956,0.3007582171219512,0.3157961279780488,False,,,,
strict,dti_band,1,250,12006,0.2589077780609174,0.2718531669639633,False,,,,
strict,dti_band,2,250,9302,0.1986385847150481,0.20857051395080053,False,,,,
strict,dti_band,3,250,7023,0.14368238615068693,0.15086650545822128,False,,,,
strict,dti_band,4,250,4713,0.09801303395139632,0.10291368564896615,False,,,,
strict,score_decile,0,250,26022,0.6888154671542573,0.7232562405119702,False,,,,
strict,score_decile,1,250,13970,0.24588399151225157,0.25817819108786416,False,,,,
strict,score_decile,2,250,4675,0.05049991928507104,0.053024915249324595,False,,,,
strict,score_decile,3,250,1521,0.008986933038009284,0.045,False,,,,
strict,score_decile,4,250,824,0.0030269104780859973,0.045,False,,,,
strict,score_decile,5,250,545,0.001639861661455421,0.045,False,,,,
strict,score_decile,6,250,313,0.0008189747311951324,0.045,False,,,,
strict,score_decile,__pooled_small__,250,130,0.0003279421396742659,0.045,True,,,,
committee,grade,A,250,43274,0.9839539325078269,0.85,False,,,,
committee,grade,B,250,1495,0.005947241018803559,0.045,False,,,,
committee,grade,C,250,1223,0.004165474058302345,0.045,False,,,,
committee,grade,D,250,1243,0.00405179885598162,0.045,False,,,,
committee,grade,E,250,687,0.001703769367054058,0.045,False,,,,
committee,grade,__pooled_small__,250,78,0.00017778419203148406,0.045,True,,,,
committee,period,2018,250,33670,0.7226588242350902,0.85,False,,,,
committee,period,2019,250,13153,0.25530031388244445,0.3291253923530556,False,,,,
committee,period,2020,250,1177,0.022040861882465377,0.045,False,,,,
committee,state_top20,AZ,250,1305,0.026532919412685166,0.045,False,,,,
committee,state_top20,CA,250,6470,0.14139303098044284,0.18674128872555357,False,,,,
committee,state_top20,CO,250,1395,0.02988304185381057,0.047353802317263216,False,,,,
committee,state_top20,FL,250,3197,0.06298481794455911,0.08873102243069889,False,,,,
committee,state_top20,GA,250,1376,0.03172433859047177,0.04965542323808972,False,,,,
committee,state_top20,IL,250,1688,0.03583300020812777,0.05479125026015971,False,,,,
committee,state_top20,IN,250,848,0.01620115690056283,0.045,False,,,,
committee,state_top20,MA,250,1106,0.026748545017795528,0.045,False,,,,
committee,state_top20,MD,250,1123,0.024072019857885367,0.045,False,,,,
committee,state_top20,MI,250,1249,0.02442592764802333,0.045,False,,,,
committee,state_top20,MN,250,935,0.01983030944211693,0.045,False,,,,
committee,state_top20,NC,250,1452,0.029457476919757284,0.04682184614969661,False,,,,
committee,state_top20,NJ,250,1497,0.0332505753706345,0.05156321921329313,False,,,,
committee,state_top20,NV,250,819,0.01582722134126876,0.045,False,,,,
committee,state_top20,NY,250,3188,0.06523522463910765,0.09154403079888455,False,,,,
committee,state_top20,OH,250,1520,0.027904519673710403,0.045,False,,,,
committee,state_top20,PA,250,1559,0.031135431599431735,0.04891928949928967,False,,,,
committee,state_top20,TX,250,4050,0.08829443316582469,0.12036804145728086,False,,,,
committee,state_top20,VA,250,1372,0.03099226827468518,0.04874033534335648,False,,,,
committee,state_top20,WA,250,1125,0.02628830889542928,0.045,False,,,,
committee,state_top20,other,250,10726,0.2119854322636693,0.27498179032958664,False,,,,
committee,income_band,0,250,8592,0.093434072005768,0.12679259000721002,False,,,,
committee,income_band,1,250,9396,0.14177104254300738,0.18721380317875924,False,,,,
committee,income_band,2,250,9169,0.16463153333003228,0.21578941666254037,False,,,,
committee,income_band,3,250,9914,0.23217714732910072,0.3002214341613759,False,,,,
committee,income_band,4,250,10929,0.36798620479209165,0.4699827559901146,False,,,,
committee,dti_band,0,250,14956,0.3007582171219512,0.385947771402439,False,,,,
committee,dti_band,1,250,12006,0.2589077780609174,0.3336347225761468,False,,,,
committee,dti_band,2,250,9302,0.1986385847150481,0.25829823089381015,False,,,,
committee,dti_band,3,250,7023,0.14368238615068693,0.18960298268835868,False,,,,
committee,dti_band,4,250,4713,0.09801303395139632,0.1325162924392454,False,,,,
committee,score_decile,0,250,26022,0.6888154671542573,0.85,False,,,,
committee,score_decile,1,250,13970,0.24588399151225157,0.3173549893903145,False,,,,
committee,score_decile,2,250,4675,0.05049991928507104,0.07312489910633879,False,,,,
committee,score_decile,3,250,1521,0.008986933038009284,0.045,False,,,,
committee,score_decile,4,250,824,0.0030269104780859973,0.045,False,,,,
committee,score_decile,5,250,545,0.001639861661455421,0.045,False,,,,
committee,score_decile,6,250,313,0.0008189747311951324,0.045,False,,,,
committee,score_decile,__pooled_small__,250,130,0.0003279421396742659,0.045,True,,,,
relaxed,grade,A,250,43274,0.9839539325078269,0.85,False,,,,
relaxed,grade,B,250,1495,0.005947241018803559,0.045,False,,,,
relaxed,grade,C,250,1223,0.004165474058302345,0.045,False,,,,
relaxed,grade,D,250,1243,0.00405179885598162,0.045,False,,,,
relaxed,grade,E,250,687,0.001703769367054058,0.045,False,,,,
relaxed,grade,__pooled_small__,250,78,0.00017778419203148406,0.045,True,,,,
relaxed,period,2018,250,33670,0.7226588242350902,0.85,False,,,,
relaxed,period,2019,250,13153,0.25530031388244445,0.4312455179060333,False,,,,
relaxed,period,2020,250,1177,0.022040861882465377,0.046367422106067875,False,,,,
relaxed,state_top20,AZ,250,1305,0.026532919412685166,0.05377931703093052,False,,,,
relaxed,state_top20,CA,250,6470,0.14139303098044284,0.2432985011177307,False,,,,
relaxed,state_top20,CO,250,1395,0.02988304185381057,0.05930701905878744,False,,,,
relaxed,state_top20,FL,250,3197,0.06298481794455911,0.11392494960852252,False,,,,
relaxed,state_top20,GA,250,1376,0.03172433859047177,0.06234515867427842,False,,,,
relaxed,state_top20,IL,250,1688,0.03583300020812777,0.06912445034341082,False,,,,
relaxed,state_top20,IN,250,848,0.01620115690056283,0.045,False,,,,
relaxed,state_top20,MA,250,1106,0.026748545017795528,0.05413509927936262,False,,,,
