regime_v53,scenario_row,scenario_loss_v53,eta_v53,excess_loss_v53
tail_first,0,7380.303625640084,12074.783279685807,0.0
tail_first,1,9308.61056951013,12074.783279685807,0.0
tail_first,2,12074.783279685807,12074.783279685807,0.0
tail_first,3,8288.745056879847,12074.783279685807,0.0
tail_first,4,9261.393069699267,12074.783279685807,0.0
tail_first,5,8209.815597172046,12074.783279685807,0.0
tail_first,6,9399.116560537315,12074.783279685807,0.0
tail_first,7,8236.121168820246,12074.783279685807,0.0
tail_first,8,7690.123521954415,12074.783279685807,0.0
tail_first,9,7273.7454176954325,12074.783279685807,0.0
tail_first,10,14556.354437799084,12074.783279685807,2481.5711581132764
tail_first,11,10452.098510076354,12074.783279685807,0.0
tail_first,12,7935.978278593975,12074.783279685807,0.0
tail_first,13,8952.669481223802,12074.783279685807,0.0
tail_first,14,11169.661871449514,12074.783279685807,0.0
tail_first,15,9913.79494978663,12074.783279685807,0.0
tail_first,16,8181.631935024224,12074.783279685807,0.0
tail_first,17,7197.0655534382395,12074.783279685807,0.0
tail_first,18,8863.671524199244,12074.783279685807,0.0
tail_first,19,11603.185910722825,12074.783279685807,0.0
tail_first,20,9785.389242039322,12074.783279685807,0.0
tail_first,21,9854.93417299664,12074.783279685807,0.0
tail_first,22,11033.778126682124,12074.783279685807,0.0
tail_first,23,10976.699427218387,12074.783279685807,0.0
tail_first,24,8531.974734186748,12074.783279685807,0.0
tail_first,25,7840.95336591491,12074.783279685807,0.0
tail_first,26,11398.531759285153,12074.783279685807,0.0
tail_first,27,11149.272615068443,12074.783279685807,0.0
tail_first,28,7741.569980245205,12074.783279685807,0.0
tail_first,29,10266.290190027968,12074.783279685807,0.0
tail_first,30,12677.666329537136,12074.783279685807,602.8830498513289
tail_first,31,12269.817937627,12074.783279685807,195.03465794119256
tail_first,32,6070.185992548691,12074.783279685807,0.0
tail_first,33,9874.323494749831,12074.783279685807,0.0
tail_first,34,12470.802855027408,12074.783279685807,396.019575341601
tail_first,35,10774.483120992521,12074.783279685807,0.0
tail_first,36,7765.951567646021,12074.783279685807,0.0
tail_first,37,7151.635164360229,12074.783279685807,0.0
tail_first,38,11810.449680686597,12074.783279685807,0.0
