policy_id,constraint_name,limit_v12,actual_v12,slack_v12,active_v12,column_round_v12,pool_n_v12
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cvar90,250000.0,250000.0,0.0,True,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,return_floor,80000.0,126298.70435513796,46298.70435513796,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,qhat_cap,0.9,0.7622091188220578,0.13779088117794225,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cap_grade_dplus,0.6859999999999999,0.31483695586931754,0.3711630441306824,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cap_dti_high,0.6859999999999999,0.03596136719253499,0.650038632807465,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cap_score_low,1.0,0.9021,0.09789999999999999,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cap_income_q5,0.7974285714285714,0.34003636719253494,0.45739220423603644,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cap_period_2018h1,0.81,0.3158244113232174,0.49417558867678263,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cap_state_top20,1.0,1.0,0.0,True,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cvar90,300000.0,300000.0,0.0,True,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,return_floor,105000.0,135633.49524334646,30633.495243346464,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,qhat_cap,0.9,0.8193594549063339,0.08064054509366614,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cap_grade_dplus,0.6859999999999999,0.3624163938596344,0.3235836061403655,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cap_dti_high,0.6859999999999999,0.06015,0.6258499999999999,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cap_score_low,1.0,0.9620336061403656,0.037966393859634406,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cap_income_q5,0.7974285714285714,0.47565,0.32177857142857136,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cap_period_2018h1,0.81,0.17205,0.63795,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cap_state_top20,1.0,1.0,0.0,True,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cvar90,360000.0,307395.4792324827,52604.52076751727,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,return_floor,125000.0,135633.49524334646,10633.495243346464,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,qhat_cap,0.9,0.8193594549063339,0.08064054509366614,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cap_grade_dplus,0.6859999999999999,0.3624163938596344,0.3235836061403655,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cap_dti_high,0.6859999999999999,0.06015,0.6258499999999999,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cap_score_low,1.0,0.9620336061403656,0.037966393859634406,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cap_income_q5,0.7974285714285714,0.47565,0.32177857142857136,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cap_period_2018h1,0.81,0.17205,0.63795,False,3,32000
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cap_state_top20,1.0,1.0,0.0,True,3,32000
