scenario,relative_pd_increase,absolute_pd_threshold,stage1_share_v12,stage2_share_v12,stage3_share_v12,mean_ecl_proxy_v12,stage_mix_defensible_proxy,contractual_ifrs9_claim_allowed,claim_scope_v12
baseline,2.5,0.3,0.13872986863823686,0.6414911022902527,0.21977902907151034,4720.244998202863,True,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,1.5,0.18,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,1.5,0.2,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,1.5,0.25,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,1.5,0.3,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,2.0,0.18,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,2.0,0.2,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,2.0,0.25,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,2.0,0.3,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,2.5,0.18,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,2.5,0.2,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,2.5,0.25,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
adverse,2.5,0.3,0.0,0.7802209709284896,0.21977902907151034,5595.427122332531,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,1.5,0.18,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,1.5,0.2,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,1.5,0.25,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,1.5,0.3,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,2.0,0.18,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,2.0,0.2,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,2.0,0.25,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,2.0,0.3,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,2.5,0.18,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,2.5,0.2,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,2.5,0.25,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
severe,2.5,0.3,0.0,0.7802209709284896,0.21977902907151034,5780.334348601222,False,False,available_data_sicr_proxy_sensitivity_not_contractual_ifrs9
