source_family,method_v64,min_support_v64,global_delta_v64,small_cell_bonus_v64,evaluated_splits_v64,split_gate_pass_rows_v64,worst_source_month_coverage_v64,worst_policy_month_coverage_v64,worst_stress_slice_coverage_v64,max_avg_width_loan_v64,avg_width_loan_mean_v64,all_splits_gate_pass_v64,source_margin_to_0p80_v64,policy_margin_to_0p90_v64,width_margin_to_0p95_v64,strict_live_deployability_claim_allowed,claim_boundary_v64,ranking_score_v64,recommendation_v64
period,train_support_hierarchical_qhat_bonus,3,0.02,0.0,4,3,0.9076638965835642,0.9,0.9809050983387435,0.9518148541758069,0.9390715859546888,False,0.10766389658356412,0.0,-0.001814854175806957,False,"all-split pseudo-unseen gate is still a historical stress diagnostic, not live validation",301.05849042407755,near_miss_or_partial_pass_requires_external_holdout
term,train_support_hierarchical_qhat_bonus,3,0.02,0.0,4,3,0.8976458546571137,0.9,0.9809050983387435,0.9518148541758069,0.9390715859546888,False,0.09764585465711362,0.0,-0.001814854175806957,False,"all-split pseudo-unseen gate is still a historical stress diagnostic, not live validation",300.95831000481303,near_miss_or_partial_pass_requires_external_holdout
grade,train_support_hierarchical_qhat_bonus,3,0.02,0.0,4,3,0.7619047619047619,0.9,0.9809050983387435,0.9518148541758069,0.9390715859546888,False,-0.03809523809523818,0.0,-0.001814854175806957,False,"all-split pseudo-unseen gate is still a historical stress diagnostic, not live validation",299.6008990772895,near_miss_or_partial_pass_requires_external_holdout
dti_band,train_support_hierarchical_qhat_bonus,3,0.02,0.0,4,3,0.7549019607843137,0.9,0.9809050983387435,0.9518148541758069,0.9390715859546888,False,-0.045098039215686336,0.0,-0.001814854175806957,False,"all-split pseudo-unseen gate is still a historical stress diagnostic, not live validation",299.53087106608507,near_miss_or_partial_pass_requires_external_holdout
score_decile,train_support_hierarchical_qhat_bonus,3,0.02,0.0,4,3,0.6875,0.9,0.9809050983387435,0.9518148541758069,0.9390715859546888,False,-0.11250000000000004,0.0,-0.001814854175806957,False,"all-split pseudo-unseen gate is still a historical stress diagnostic, not live validation",298.8568514582419,near_miss_or_partial_pass_requires_external_holdout
state_top20,train_support_hierarchical_qhat_bonus,3,0.02,0.0,4,3,0.6666666666666666,0.9,0.9809050983387435,0.9518148541758069,0.9390715859546888,False,-0.13333333333333341,0.0,-0.001814854175806957,False,"all-split pseudo-unseen gate is still a historical stress diagnostic, not live validation",298.6485181249086,near_miss_or_partial_pass_requires_external_holdout
income_band,train_support_hierarchical_qhat_bonus,3,0.02,0.0,4,3,0.0,0.9,0.9809050983387435,0.9518148541758069,0.9390715859546888,False,-0.8,0.0,-0.001814854175806957,False,"all-split pseudo-unseen gate is still a historical stress diagnostic, not live validation",291.9818514582419,near_miss_or_partial_pass_requires_external_holdout
