period,original_grade,n,observed_default_rate,mean_pd_high,default_multiplier_v11,support_status_v11
2018H1,A,26596,0.08756955933223041,0.23157757962668934,0.45,direct_cell
2018H1,B,31406,0.19747818888110552,0.6546989395517512,0.45,direct_cell
2018H1,C,29579,0.305723655295987,0.8313646209597579,0.45,direct_cell
2018H1,D,17441,0.3911472965999656,0.9099074042716786,0.45,direct_cell
2018H1,E,4678,0.4523300555793074,0.9505309147645986,0.47587095648680516,direct_cell
2018H1,F,949,0.5247629083245522,0.9896569833700624,0.5302472646002919,direct_cell
2018H1,G,190,0.5421052631578948,0.9889861608330455,0.7062925701162731,low_support_shrunk
2018H2,A,22996,0.09549486867281266,0.2869174429220584,0.45,direct_cell
2018H2,B,22332,0.18905606304854022,0.6745670882452853,0.45,direct_cell
2018H2,C,21614,0.28555565836957525,0.8351217831011162,0.45,direct_cell
2018H2,D,13515,0.36470588235294116,0.9037798489843488,0.45,direct_cell
2018H2,E,4907,0.4244956185041777,0.9193877834900096,0.4617155308424766,direct_cell
2018H2,F,766,0.5195822454308094,0.9712715137055408,0.5349505654176229,direct_cell
2018H2,G,209,0.5454545454545454,0.9616362178778806,0.5672150604500353,direct_cell
2019H1,A,14376,0.09286310517529216,0.3162345630305612,0.45,direct_cell
2019H1,B,13295,0.17044001504324935,0.6924769792773549,0.45,direct_cell
2019H1,C,12486,0.26293448662502,0.8351205937904201,0.45,direct_cell
2019H1,D,8822,0.34810700521423715,0.8977085290513542,0.45,direct_cell
2019H1,E,1243,0.3805309734513274,0.9102229164853428,0.45,direct_cell
2019H1,F,16,0.375,0.835531389591726,0.6425000000000001,low_support_shrunk
2019H1,G,7,0.0,0.7895346623069095,0.6425000000000001,low_support_shrunk
2019H2,A,6917,0.0571056816538962,0.2953630398185116,0.45,direct_cell
2019H2,B,7124,0.10401459854014598,0.6782565700773421,0.45,direct_cell
2019H2,C,5983,0.16262744442587332,0.8312882243988688,0.45,direct_cell
2019H2,D,5136,0.19898753894080998,0.887022692669487,0.45,direct_cell
2020,A,1503,0.008649367930805056,0.31299557637455194,0.45,direct_cell
2020,B,1154,0.018197573656845753,0.6907177941363001,0.45,direct_cell
2020,C,906,0.012141280353200883,0.8160635811128946,0.45,direct_cell
2020,D,723,0.017980636237897647,0.8746740607891931,0.45,direct_cell
