policy_id,reference_policy_id,n_common_paths,mean_wealth_diff,ci95_low_wealth_diff,ci95_high_wealth_diff,prob_higher_wealth,mean_loss_diff,prob_lower_loss,paired_scope
paper1_economic_champion,paper1_economic_champion,64,0.0,0.0,0.0,0.0,0.0,0.0,common_random_numbers_internal_v19_paths
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,paper1_economic_champion,64,-620.906505745912,-5230.552080827255,3988.739069335431,0.5,-26640.917311856443,0.984375,common_random_numbers_internal_v19_paths
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,paper1_economic_champion,64,-620.906505745912,-5230.552080827255,3988.739069335431,0.5,-26640.917311856443,0.984375,common_random_numbers_internal_v19_paths
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,paper1_economic_champion,64,-21198.818040799488,-26776.11678019338,-15621.519301405595,0.203125,-28395.287068225764,0.953125,common_random_numbers_internal_v19_paths
v13_fvi_bellman_rollout,paper1_economic_champion,64,-76568.7519444272,-83751.14290461222,-69386.36098424219,0.0,-63075.18854293773,1.0,common_random_numbers_internal_v19_paths
v13_fvi_capital_guarded,paper1_economic_champion,64,-78360.42863985838,-85600.70576786273,-71120.15151185403,0.0,-62871.53335846525,1.0,common_random_numbers_internal_v19_paths
v13_fvi_return_recovery,paper1_economic_champion,64,-70108.5097978811,-77297.40374020813,-62919.61585555405,0.0,-61901.22620471296,1.0,common_random_numbers_internal_v19_paths
v13_mdcp_empirical_base,paper1_economic_champion,64,-67505.53373181308,-74346.11484445995,-60664.95261916621,0.0,-38623.80343588158,0.984375,common_random_numbers_internal_v19_paths
v13_mdcp_empirical_return_recovery,paper1_economic_champion,64,-42255.196956010295,-48227.018873718895,-36283.375038301696,0.046875,-34393.41967192936,1.0,common_random_numbers_internal_v19_paths
v13_mdcp_empirical_tight,paper1_economic_champion,64,-103451.39194491695,-109939.29903543326,-96963.48485440064,0.0,-48126.18380916391,1.0,common_random_numbers_internal_v19_paths
v13_spo_regret_audit_guarded,paper1_economic_champion,64,-48509.21316384632,-54476.98269044079,-42541.44363725185,0.015625,-36741.641548869185,1.0,common_random_numbers_internal_v19_paths
v13_spo_regret_balanced,paper1_economic_champion,64,-39444.76719027512,-45738.60518066721,-33150.92919988302,0.0625,-36176.80636386256,0.984375,common_random_numbers_internal_v19_paths
v13_spo_regret_return_recovery,paper1_economic_champion,64,-38340.29573872441,-44330.65607347735,-32349.93540397147,0.0625,-32521.944044890322,1.0,common_random_numbers_internal_v19_paths
v13_static_reference,paper1_economic_champion,64,-117339.03933222972,-132190.95469175765,-102487.12397270177,0.03125,180715.4439295753,0.0,common_random_numbers_internal_v19_paths
