policy_id,regime_v74,path_id,scenario_loss_v74,scenario_return_v74,claim_boundary_v74,iteration_v74
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,0,70424.11087233103,1608.5589862527627,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,1,102013.54596458656,-28471.200757498365,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,2,155294.49839485396,-80197.69207371137,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,3,91840.8500308835,-18601.23321108822,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,4,101602.29022784616,-28287.8374514658,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,5,89340.12242685742,-16306.482496929497,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,6,111462.9040970035,-37460.61532439605,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,7,94064.86517238873,-20790.531700097734,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,8,73569.33714567628,-1180.8600682337783,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,9,72089.34679248439,197.3124299060164,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,10,194072.3452264766,-118226.99138907631,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,11,125616.4702746064,-51249.73190409503,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,12,81321.16052133177,-8822.131651847323,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,13,90659.35837014823,-17399.97832921266,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,14,135860.80255424214,-61157.77155976208,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,15,111556.54279264816,-37567.698057080226,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,16,81738.46034280366,-9109.563332211628,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,17,76394.46921221726,-4042.8592715716577,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,18,100817.39993543291,-27125.54475998268,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,19,133898.26290600622,-59167.94970759703,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,20,94868.42210258932,-21564.940250306867,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,21,106467.19677635148,-32701.063002784846,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,22,139625.24616626004,-64853.74884276024,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,23,128426.16526676505,-53959.72689174214,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,24,78776.66256393163,-6085.381141720939,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,25,81158.11342942374,-8495.064021937602,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,26,138658.19636953698,-63905.31919958898,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,27,139828.6996282314,-65243.05346075617,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,28,72670.5707825415,-400.4413940704347,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,29,113121.43912935795,-39155.811510262254,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,30,153880.39379780495,-78733.44618560045,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,31,161861.33707814704,-86693.44894722875,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,32,61547.27957465708,9801.89620961866,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,33,109501.44271578282,-35660.32295843268,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,34,156338.52791595558,-81125.08712090459,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,35,118270.83531397571,-44065.64368707986,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,36,74511.94593417118,-2114.101743283737,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,37,69959.16759338582,2236.4554375825637,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,38,149111.5620292803,-74113.25891907891,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,39,119545.56506407754,-45371.712663204045,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,40,80580.3300817177,-7930.0449691106505,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,41,98518.16166917139,-24949.57472603905,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,42,137599.22813050367,-62763.32920125028,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,43,91799.82689219905,-18542.719107977955,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,44,94896.62655664151,-21869.713896004003,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,45,96300.68822236554,-23132.830337280982,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,46,137423.3915386257,-62741.42886721068,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,47,110729.35867324212,-36752.887642920614,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,48,78645.99955184822,-6217.035562050197,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,49,85924.83526866435,-13176.1529506692,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,50,128664.93207793955,-54213.16334125945,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,51,125056.09138732436,-50783.530339774676,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,52,79248.54902166048,-6629.276251029967,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,53,72479.50262232748,-128.58500132814254,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,54,177671.81609174356,-102028.54599187695,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,55,85777.21366698315,-12705.978131889191,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,56,65892.36468477955,6003.589290494203,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,57,97275.45847404384,-23712.734661136197,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,58,142990.28506884686,-68156.19676720252,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,59,85803.43619923643,-12702.16339187284,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,60,92885.3517237815,-19693.537264493094,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,61,130315.88393942229,-55931.44615785877,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,62,126239.96788960762,-51836.8654717914,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,63,112997.50977541081,-38999.564199407156,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,64,65316.70755244992,6160.488859998633,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,65,79722.3983806285,-7272.1480614299135,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,66,151224.16519875248,-76257.14416604915,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,67,95407.53806813416,-22218.704057826315,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,68,78257.36198122302,-5666.615689753875,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,69,81882.47378488994,-9227.580865426466,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,70,154178.21538560506,-78957.66188559993,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,71,82272.0740478583,-9311.245257513536,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,72,81326.22022529622,-8613.783895437118,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,73,105940.99174688039,-32327.419213188834,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,74,127611.77843569408,-53067.34697933958,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,75,115953.31182117466,-41786.74428032285,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,76,93812.58472697085,-20734.396904694866,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,77,137513.7382293191,-62952.1276529442,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,78,140927.16361840215,-66141.5315208876,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,79,129072.0518551429,-54461.54067933745,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,80,109137.76723323057,-35430.81631938479,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,81,92353.09361262218,-19233.83099754713,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,82,125929.08516039915,-51571.52280555454,v74 iteration scenario evaluation only,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,83,96951.2949319819,-23543.368533428133,v74 iteration scenario evaluation only,2
